Date,COST,MU,MSFT,AMZN,IBM,AAPL,ORCL,KEY,AEE,MRO,AMGN,UNH,LUV,CSCO,MMM,MS,NKE
1998-05-20,3466400,8866000,35698800,80976000,6305497,190176000,36439200,873400,144600,1333445,5545200,11716000,4026713,60733800,820800,2403000,9223200
1998-05-21,4473600,4710400,36680000,68064000,6103828,130995200,33985800,511700,96100,1247946,4561600,7404000,3052688,46115400,999200,3534200,8573600
1998-05-22,3442000,6079600,36129200,117240000,4180862,266593600,31108200,433700,201900,1837385,44537600,6080800,2470500,38740200,1338200,1942000,6906400
1998-05-26,3102000,3371800,44473600,217680000,7271164,311774400,27080400,361500,121600,2650461,17544000,7927200,3948075,43423200,1357000,2052400,5351200
1998-05-27,2823000,6588000,58574400,464688000,10500166,370193600,31188000,941000,158600,1511484,10360000,4841600,2241338,57352200,1681800,2772600,7186400
1998-05-28,4760400,5530400,30746800,188256000,6217842,298491200,28081200,450300,217500,2272590,6866000,53719200,1723275,34792800,1088600,1582800,6461600
1998-05-29,5766000,3300600,34091200,172824000,5973497,216720000,60899400,500500,163000,3469573,8228000,36219200,1910250,35964000,1455600,1772200,6745600
1998-06-01,3371200,5560000,42436800,160872000,7643540,319692800,39799200,521100,190200,2966639,7576000,12657600,2489063,59528400,1636000,1856400,7456800
1998-06-02,4468400,7998000,38570800,164028000,8140600,179300800,83485200,565400,175700,3977536,12789600,11284800,2470163,83092200,1197000,2678400,4718400
1998-06-03,4936000,6409400,36010800,131628000,6152363,145140800,48964200,352700,105000,4233026,7257200,10268800,4927163,58046400,1051400,2799800,3593600
1998-06-04,4059800,8306800,33717600,99912000,6345664,156139200,46338600,1229700,133800,2453982,5218000,4841600,2521463,62507400,1248600,1335000,3767200
1998-06-05,1997400,5051200,34431600,68544000,8624688,123323200,61518600,822100,167700,1727745,9120000,7752800,1774575,55507800,945800,1739600,3918400
1998-06-08,3648000,4294000,18886400,109260000,3922500,126627200,33981600,1051300,1874800,1231852,7450000,5479200,2711475,46465800,904600,2709000,4076800
1998-06-09,3365800,5934800,35690400,388728000,3914341,275744000,25986000,943300,261000,1883319,5090000,7256800,4562663,36597000,1023200,2435800,4015200
1998-06-10,3860400,8449600,33290400,485700000,6864061,229230400,35389200,1517100,174600,1448449,10424000,8200800,4044263,58495200,3020000,1916000,3536800
1998-06-11,3252200,10079000,41271200,717024000,5603631,180118400,38994600,1137200,260500,1830679,8678800,6409600,2176538,52405200,4191800,1932200,4486400
1998-06-12,3749400,11734800,41323600,433116000,8411304,223854400,52746000,753600,275100,2425817,8114400,6903200,2085750,42152400,2643200,1937600,4196000
1998-06-15,1573600,8357000,42846000,674028000,8794140,136662400,29586600,1230800,227000,1789103,6061600,8744800,2751638,46002600,6116800,2174600,4994400
1998-06-16,6504000,6663000,61138400,783348000,18439097,129684800,38971800,1733700,283000,2917687,5861200,7861600,2280488,47940000,4175800,2240200,5760800
1998-06-17,5789000,8437000,76147600,805308000,11762479,187174400,65968200,1454500,364200,2132104,5654400,11317600,1961550,61374600,3387600,2586800,4744800
